date,temperature,humidite,vent,pression,nuages
2026-07-25T00:00,21.7,87,5.9,1019.0,82
2026-07-25T01:00,21.7,85,7.0,1018.0,93
2026-07-25T02:00,21.6,86,7.1,1018.0,88
2026-07-25T03:00,21.5,84,7.3,1018.0,85
2026-07-25T04:00,21.4,85,6.9,1018.0,85
2026-07-25T05:00,21.3,87,5.8,1018.0,85
2026-07-25T06:00,21.3,89,5.6,1018.0,85
2026-07-25T07:00,21.8,85,7.4,1018.0,86
2026-07-25T08:00,22.5,77,10.3,1018.0,89
2026-07-25T09:00,23.5,70,11.8,1018.0,98
2026-07-25T10:00,24.2,68,12.6,1018.0,96
2026-07-25T11:00,24.9,67,14.0,1018.0,92
2026-07-25T12:00,25.3,63,15.2,1017.0,83
2026-07-25T13:00,25.5,63,16.7,1017.0,80
2026-07-25T14:00,25.3,64,17.8,1017.0,72
2026-07-25T15:00,25.3,64,17.5,1016.0,61
2026-07-25T16:00,24.7,67,17.1,1016.0,58
2026-07-25T17:00,23.8,73,15.6,1016.0,65
2026-07-25T18:00,23.0,75,14.2,1016.0,65
2026-07-25T19:00,22.2,77,12.1,1016.0,85
2026-07-25T20:00,21.6,80,10.3,1017.0,73
2026-07-25T21:00,21.3,82,10.0,1017.0,76
2026-07-25T22:00,21.1,80,8.1,1017.0,62
2026-07-25T23:00,21.0,84,6.6,1017.0,58
2026-07-26T00:00,20.9,87,5.6,1017.0,63
2026-07-26T01:00,20.9,88,5.4,1016.0,64
2026-07-26T02:00,20.6,92,5.4,1016.0,71
2026-07-26T03:00,20.5,91,5.2,1016.0,74
2026-07-26T04:00,20.2,91,5.1,1015.0,66
2026-07-26T05:00,19.9,91,4.4,1015.0,53
2026-07-26T06:00,19.8,89,4.0,1015.0,46
2026-07-26T07:00,20.7,83,4.7,1016.0,38
2026-07-26T08:00,22.5,75,6.6,1016.0,35
2026-07-26T09:00,24.2,70,9.7,1016.0,34
2026-07-26T10:00,25.6,64,11.1,1016.0,28
2026-07-26T11:00,26.6,60,12.7,1016.0,0
2026-07-26T12:00,26.9,60,13.8,1015.0,3
2026-07-26T13:00,27.0,62,14.8,1015.0,6
2026-07-26T14:00,27.0,65,15.5,1014.0,27
2026-07-26T15:00,26.7,66,15.5,1014.0,30
2026-07-26T16:00,26.3,68,14.8,1014.0,35
2026-07-26T17:00,25.7,72,13.1,1014.0,34
2026-07-26T18:00,25.1,74,10.7,1014.0,31
2026-07-26T19:00,24.2,77,9.0,1014.0,36
2026-07-26T20:00,23.1,84,6.0,1014.0,34
2026-07-26T21:00,22.4,88,3.9,1015.0,14
2026-07-26T22:00,21.8,91,3.6,1015.0,28
2026-07-26T23:00,21.4,93,2.4,1015.0,32
2026-07-27T00:00,21.2,94,2.3,1014.0,31
2026-07-27T01:00,21.0,94,1.9,1014.0,26
2026-07-27T02:00,20.9,93,1.6,1013.0,4
2026-07-27T03:00,20.7,93,1.8,1013.0,1
2026-07-27T04:00,20.6,92,1.1,1013.0,0
2026-07-27T05:00,20.4,92,1.9,1013.0,0
2026-07-27T06:00,20.2,91,2.2,1013.0,0
2026-07-27T07:00,20.8,89,1.5,1013.0,0
2026-07-27T08:00,23.3,76,1.5,1013.0,0
2026-07-27T09:00,25.5,64,4.3,1013.0,0
2026-07-27T10:00,27.3,56,6.3,1014.0,0
2026-07-27T11:00,28.4,52,8.9,1014.0,0
2026-07-27T12:00,29.0,51,10.7,1013.0,4
2026-07-27T13:00,29.0,54,11.8,1013.0,0
2026-07-27T14:00,28.7,57,12.1,1012.0,0
2026-07-27T15:00,28.1,60,11.5,1012.0,12
2026-07-27T16:00,27.5,66,10.5,1012.0,16
2026-07-27T17:00,26.6,74,8.9,1012.0,40
2026-07-27T18:00,25.4,76,8.1,1012.0,53
2026-07-27T19:00,24.4,79,6.8,1012.0,51
2026-07-27T20:00,23.3,83,5.9,1013.0,27
2026-07-27T21:00,22.7,84,5.1,1014.0,19
2026-07-27T22:00,22.1,88,5.4,1014.0,50
2026-07-27T23:00,21.8,91,5.3,1014.0,74
2026-07-28T00:00,21.8,91,5.7,1014.0,76
2026-07-28T01:00,21.7,90,5.6,1014.0,69
2026-07-28T02:00,21.7,87,6.6,1013.0,69
2026-07-28T03:00,21.4,89,6.7,1013.0,57
2026-07-28T04:00,21.3,90,5.6,1014.0,73
2026-07-28T05:00,21.3,89,6.6,1014.0,80
2026-07-28T06:00,21.2,88,6.6,1015.0,80
2026-07-28T07:00,21.6,84,7.4,1015.0,69
2026-07-28T08:00,22.7,78,7.9,1015.0,63
2026-07-28T09:00,24.3,70,7.3,1016.0,55
2026-07-28T10:00,26.4,60,7.4,1016.0,25
2026-07-28T11:00,28.2,55,8.4,1016.0,3
2026-07-28T12:00,28.9,53,11.1,1016.0,1
2026-07-28T13:00,28.6,59,12.6,1016.0,7
2026-07-28T14:00,28.0,60,13.5,1016.0,12
2026-07-28T15:00,27.2,69,13.4,1016.0,42
2026-07-28T16:00,26.7,69,11.8,1016.0,40
2026-07-28T17:00,26.2,73,10.2,1016.0,47
2026-07-28T18:00,25.4,76,8.9,1016.0,47
2026-07-28T19:00,24.6,81,7.2,1016.0,52
2026-07-28T20:00,23.7,86,5.3,1017.0,58
2026-07-28T21:00,23.0,90,3.9,1017.0,63
2026-07-28T22:00,22.6,92,3.1,1017.0,70
2026-07-28T23:00,22.4,93,2.6,1017.0,76
2026-07-29T00:00,22.3,93,2.5,1017.0,83
2026-07-29T01:00,22.1,93,2.3,1017.0,82
2026-07-29T02:00,22.0,93,2.1,1016.0,81
2026-07-29T03:00,21.9,93,1.6,1016.0,80
2026-07-29T04:00,21.7,93,1.0,1016.0,76
2026-07-29T05:00,21.6,94,0.7,1016.0,73
2026-07-29T06:00,21.7,92,0.7,1016.0,69
2026-07-29T07:00,22.4,87,1.6,1017.0,67
2026-07-29T08:00,23.5,80,3.8,1017.0,64
2026-07-29T09:00,24.5,74,5.9,1017.0,62
2026-07-29T10:00,25.4,70,8.2,1018.0,54
2026-07-29T11:00,26.3,68,10.6,1018.0,46
2026-07-29T12:00,26.9,66,12.2,1018.0,38
2026-07-29T13:00,27.0,66,12.9,1017.0,44
2026-07-29T14:00,26.7,67,12.8,1017.0,50
2026-07-29T15:00,26.3,68,12.2,1016.0,56
2026-07-29T16:00,25.9,70,10.9,1016.0,56
2026-07-29T17:00,25.4,73,9.4,1016.0,57
2026-07-29T18:00,24.8,76,7.9,1017.0,57
2026-07-29T19:00,24.1,80,6.8,1017.0,62
2026-07-29T20:00,23.3,84,5.8,1017.0,66
2026-07-29T21:00,22.6,87,5.1,1017.0,71
2026-07-29T22:00,22.2,89,4.7,1017.0,66
2026-07-29T23:00,21.8,89,4.4,1017.0,62
2026-07-30T00:00,21.5,90,4.6,1017.0,57
2026-07-30T01:00,21.3,90,4.8,1017.0,56
2026-07-30T02:00,21.1,91,5.2,1016.0,55
2026-07-30T03:00,20.9,91,5.4,1015.0,54
2026-07-30T04:00,20.6,92,5.4,1015.0,61
2026-07-30T05:00,20.4,93,5.4,1015.0,67
2026-07-30T06:00,20.5,93,5.5,1015.0,74
2026-07-30T07:00,21.2,89,6.2,1015.0,74
2026-07-30T08:00,22.2,84,7.4,1015.0,75
2026-07-30T09:00,23.4,79,8.8,1016.0,75
2026-07-30T10:00,24.6,75,9.9,1016.0,70
2026-07-30T11:00,25.9,71,10.8,1015.0,65
2026-07-30T12:00,26.9,68,11.4,1015.0,59
2026-07-30T13:00,27.2,68,12.3,1015.0,60
2026-07-30T14:00,27.2,68,13.1,1014.0,61
2026-07-30T15:00,27.0,70,13.7,1014.0,62
2026-07-30T16:00,26.4,72,13.0,1014.0,63
2026-07-30T17:00,25.5,74,11.5,1014.0,65
2026-07-30T18:00,24.7,77,10.1,1014.0,66
2026-07-30T19:00,23.9,81,8.3,1014.0,65
2026-07-30T20:00,23.1,85,6.1,1014.0,65
2026-07-30T21:00,22.5,89,4.7,1015.0,64
2026-07-30T22:00,22.2,91,4.0,1015.0,72
2026-07-30T23:00,21.9,93,4.0,1015.0,80
2026-07-31T00:00,21.8,94,4.1,1015.0,88
2026-07-31T01:00,21.8,95,3.8,1014.0,90
2026-07-31T02:00,21.9,95,3.8,1014.0,91
2026-07-31T03:00,22.0,95,3.8,1014.0,93
2026-07-31T04:00,22.1,96,4.1,1014.0,94
2026-07-31T05:00,22.2,97,4.9,1014.0,95
2026-07-31T06:00,22.6,96,5.2,1014.0,96
2026-07-31T07:00,23.3,92,5.4,1014.0,95
2026-07-31T08:00,24.2,86,5.2,1014.0,94
2026-07-31T09:00,25.2,80,5.4,1015.0,93
2026-07-31T10:00,26.1,75,6.9,1015.0,85
2026-07-31T11:00,27.1,70,9.4,1015.0,76
2026-07-31T12:00,27.7,66,11.4,1014.0,68
2026-07-31T13:00,27.9,65,12.5,1014.0,62
2026-07-31T14:00,27.7,65,12.8,1014.0,56
2026-07-31T15:00,27.4,66,12.7,1013.0,50
2026-07-31T16:00,26.8,69,12.3,1013.0,54
2026-07-31T17:00,26.1,73,11.2,1013.0,57
2026-07-31T18:00,25.4,77,10.1,1013.0,61
2026-07-31T19:00,24.7,81,8.3,1013.0,59
2026-07-31T20:00,23.9,86,6.1,1014.0,56
2026-07-31T21:00,23.3,90,4.3,1014.0,54
2026-07-31T22:00,22.9,93,3.2,1014.0,58
2026-07-31T23:00,22.6,95,2.5,1014.0,61
2026-08-01T00:00,22.4,97,2.2,1014.0,65
2026-08-01T01:00,22.4,98,2.6,1014.0,69
2026-08-01T02:00,22.4,97,3.3,1013.0,73
2026-08-01T03:00,22.5,97,4.1,1013.0,77
2026-08-01T04:00,22.4,98,3.9,1013.0,78
2026-08-01T05:00,22.3,98,3.5,1014.0,78
2026-08-01T06:00,22.5,97,3.7,1014.0,79
2026-08-01T07:00,23.2,92,4.5,1014.0,72
2026-08-01T08:00,24.3,85,5.6,1014.0,65
2026-08-01T09:00,25.4,79,6.8,1015.0,58
2026-08-01T10:00,26.6,74,8.0,1015.0,49
2026-08-01T11:00,27.9,68,9.4,1015.0,39
2026-08-01T12:00,28.7,65,11.0,1015.0,30
2026-08-01T13:00,28.8,64,12.1,1015.0,33
2026-08-01T14:00,28.4,64,12.8,1014.0,35
2026-08-01T15:00,27.9,65,13.1,1014.0,38
2026-08-01T16:00,27.3,67,12.3,1014.0,33
2026-08-01T17:00,26.5,69,10.8,1014.0,29
2026-08-01T18:00,25.6,72,9.0,1014.0,24
2026-08-01T19:00,24.6,76,7.0,1014.0,33
2026-08-01T20:00,23.6,81,5.0,1015.0,41
2026-08-01T21:00,22.7,85,3.7,1015.0,50
2026-08-01T22:00,22.6,86,3.4,1015.0,50
2026-08-01T23:00,22.6,88,3.1,1015.0,42
2026-08-02T00:00,22.6,90,2.4,1014.0,25
